buyer_id,sector_id,buyer_name,sector_name,is_externally_funded,price_dev_median,price_dev_p25,price_dev_p75,price_dev_n,single_bidder_rate,single_bidder_n,total_with_bids,no_bid_data_count,non_open_share,non_open_count,total_tenders,bunching_25L,bunching_1Cr,bunching_10Cr,bunching_composite,bunching_n,stickiness_top3,total_award_value,n_suppliers,top3_value,pctile_price_dev,pctile_single_bidder,pctile_non_open,pctile_bunching,pctile_stickiness,composite_equal,composite_pricedev2x,composite_singlebid2x
59,10,Guwahati Municipal Corporation,other,False,-0.19049999997258926,-0.27875,-0.11140000006049718,8.0,0.07096774193548387,11.0,155.0,112.0,,0.0,267.0,0.14482758620689656,0.006896551724137931,0.0,0.05057471264367817,145.0,0.7659415416966331,202469015.32,5.0,155079429.74,15.0,65.78947368421053,,97.14285714285714,73.68421052631578,62.90413533834587,,
60,1,Guwahati Smart City Ltd.,roads,False,,-0.4284885366476372,-0.4284885366476372,1.0,,0.0,2.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,2.0,,233168911.35,1.0,233168911.35,,,,36.206896551724135,,,,
60,3,Guwahati Smart City Ltd.,buildings,False,,-0.16000000000000006,-0.16000000000000006,1.0,,0.0,1.0,3.0,,0.0,4.0,0.0,0.0,0.0,0.0,3.0,,143230127.04,1.0,143230127.04,,,,35.526315789473685,,,,
60,6,Guwahati Smart City Ltd.,water_sanitation,False,,,,,,0.0,0.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,37.03703703703704,,,,
60,7,Guwahati Smart City Ltd.,electricity_power,False,,-0.2876628920194672,-0.2876628920194672,1.0,,0.0,2.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,1.0,,149204000.0,2.0,149204000.0,,,,36.84210526315789,,,,
60,10,Guwahati Smart City Ltd.,other,False,-0.16868971505376348,-0.30982108333333336,-0.13344441050847455,9.0,0.17647058823529413,3.0,17.0,2.0,,0.0,19.0,0.0,0.0,0.0,0.0,18.0,0.9040434454247133,4808987139.570001,9.0,4347533302.66,25.0,86.8421052631579,,27.142857142857142,84.21052631578947,55.79887218045113,,
61,3,Health and Family Welfare Department,buildings,False,,,,,,0.0,1.0,3.0,,0.0,4.0,,,,,,,,,,,,,,,,,
61,5,Health and Family Welfare Department,health,False,-0.8665669230769231,-0.985290084954751,-0.6676796615384615,7.0,0.06310679611650485,13.0,206.0,95.0,0.016611295681063124,5.0,301.0,0.02857142857142857,0.02857142857142857,0.0,0.019047619047619046,35.0,0.6117904926709564,269631567.63,41.0,164958029.6,20.0,85.71428571428571,50.0,100.0,28.57142857142857,56.857142857142854,50.71428571428571,61.66666666666666
61,8,Health and Family Welfare Department,it_computing,False,,,,,0.0,0.0,5.0,2.0,,0.0,7.0,0.0,0.0,0.0,0.0,1.0,,10383416.0,3.0,10383416.0,,50.0,,54.166666666666664,,,,
61,9,Health and Family Welfare Department,vehicles,False,,,,,,0.0,0.0,2.0,,0.0,2.0,1.0,0.0,0.0,0.3333333333333333,1.0,,,,,,,,100.0,,,,
62,4,Higher Education (Technical) Department,schools,False,,,,,,0.0,3.0,0.0,,0.0,3.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,42.42424242424242,,,,
63,10,Hill Areas Department,other,False,,,,,,0.0,0.0,3.0,,0.0,3.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,27.142857142857142,,,,
64,10,Home B,other,False,0.81354,0.6152500000000001,1.0431629166666667,7.0,0.0700218818380744,32.0,457.0,202.0,,0.0,659.0,0.05405405405405406,0.0,0.0,0.018018018018018018,37.0,0.3865465357169095,478586021.75,59.0,184995768.75,100.0,63.1578947368421,,77.14285714285715,31.57894736842105,67.96992481203007,,
65,10,Indigenous and Tribal Faith and Culture Department,other,False,,,,,0.0,0.0,10.0,0.0,,0.0,10.0,0.0,0.0,0.0,0.0,10.0,,,,,,17.105263157894736,,27.142857142857142,,,,
66,1,Industries and Commerce Department,roads,False,-0.1,-0.15000000163763472,-0.04999999999999998,7.0,0.034482758620689655,1.0,29.0,10.0,0.15384615384615385,6.0,39.0,0.047619047619047616,0.0,0.0,0.015873015873015872,21.0,0.7003363593784198,46491859.61,8.0,32559939.7,36.666666666666664,50.0,50.0,75.86206896551724,77.77777777777779,58.06130268199233,54.49553001277138,56.71775223499361
