ocid,sector_name,classification_method
ocds-f5kvwu-2020_ICD_18150_1,buildings,keyword
ocds-f5kvwu-2020_ICD_18166_1,other,default_other
ocds-f5kvwu-2020_ICD_18316_1,other,default_other
ocds-f5kvwu-2020_ICD_18377_1,other,default_other
ocds-f5kvwu-2020_ICD_18638_1,electricity_power,keyword
ocds-f5kvwu-2020_ICD_18783_1,other,default_other
ocds-f5kvwu-2020_ICD_18807_1,other,default_other
ocds-f5kvwu-2020_ICD_18907_1,other,default_other
ocds-f5kvwu-2020_ICD_18947_1,water_sanitation,keyword
ocds-f5kvwu-2020_ICD_19011_1,other,default_other
ocds-f5kvwu-2020_ICD_19013_1,other,default_other
ocds-f5kvwu-2020_ICD_19016_1,other,default_other
ocds-f5kvwu-2020_ICD_19067_1,other,default_other
ocds-f5kvwu-2020_ICD_19092_1,other,default_other
ocds-f5kvwu-2020_ICD_19106_1,buildings,keyword
ocds-f5kvwu-2020_ICD_19107_1,water_sanitation,keyword
ocds-f5kvwu-2020_ICD_19108_1,water_sanitation,keyword
ocds-f5kvwu-2020_ICD_19108_2,water_sanitation,keyword
ocds-f5kvwu-2020_ICD_19108_3,other,default_other
ocds-f5kvwu-2020_ICD_19202_1,other,default_other
ocds-f5kvwu-2020_ICD_19234_1,buildings,keyword
ocds-f5kvwu-2020_ICD_19249_1,other,default_other
ocds-f5kvwu-2020_ICD_19309_1,other,default_other
ocds-f5kvwu-2020_ICD_19461_1,other,default_other
ocds-f5kvwu-2020_ICD_19581_1,other,default_other
ocds-f5kvwu-2020_ICD_19698_1,other,default_other
ocds-f5kvwu-2020_ICD_19720_1,other,default_other
ocds-f5kvwu-2020_ICD_19781_1,other,default_other
ocds-f5kvwu-2020_ID_17400_1,water_sanitation,buyer
ocds-f5kvwu-2020_ID_18220_1,water_sanitation,keyword
ocds-f5kvwu-2020_ID_18288_1,water_sanitation,buyer
ocds-f5kvwu-2020_ID_18505_1,water_sanitation,hybrid
ocds-f5kvwu-2020_ID_18507_1,water_sanitation,hybrid
ocds-f5kvwu-2020_ID_18507_2,water_sanitation,hybrid
ocds-f5kvwu-2020_ID_18510_1,water_sanitation,hybrid
ocds-f5kvwu-2020_ID_18526_1,water_sanitation,hybrid
ocds-f5kvwu-2020_ID_18526_2,water_sanitation,hybrid
ocds-f5kvwu-2020_ID_18526_3,water_sanitation,hybrid
ocds-f5kvwu-2020_ID_18526_5,electricity_power,keyword
ocds-f5kvwu-2020_ID_18527_1,water_sanitation,hybrid
ocds-f5kvwu-2020_ID_18527_4,water_sanitation,hybrid
ocds-f5kvwu-2020_ID_19070_5,water_sanitation,hybrid
ocds-f5kvwu-2020_ID_19180_1,water_sanitation,hybrid
ocds-f5kvwu-2020_ID_19389_1,water_sanitation,keyword
ocds-f5kvwu-2020_ID_19392_1,water_sanitation,keyword
ocds-f5kvwu-2020_ID_19514_1,water_sanitation,buyer
ocds-f5kvwu-2020_ID_19517_1,water_sanitation,keyword
ocds-f5kvwu-2020_KAAC_17412_1,roads,keyword
ocds-f5kvwu-2020_KAAC_17423_1,roads,keyword
ocds-f5kvwu-2020_KAAC_17428_1,roads,keyword
ocds-f5kvwu-2020_KAAC_17444_1,roads,keyword
