ocid,tender_title,tender_value_amount,value_amount,tender_procurementMethod,tender_fiscalYear,price_deviation
ocds-f5kvwu-2020_PWD_19509_1,"Re-construction of Bijoypur Bahoni Road under Teok and Mariani Territorial Road Division under SOPD-G for the year 2020-21, Mariani LAC. Pkg.No. SOPD-G/2020-21/TMTRD/MAR/01",7722784.0,7336644.78,Open Tender,2020-2021,-0.05000000258973963
ocds-f5kvwu-2020_PWD_19509_2,"Construction of Dhodar Ali to Moran Gaon Road under Teok and Mariani Territorial Road Division under SOPD-G for the year 2020-21, Mariani LAC. Pkg.No. SOPD-G/2020-21/TMTRD/MAR/02",7267000.0,6903650.0,Open Tender,2020-2021,-0.05
ocds-f5kvwu-2020_PWD_19509_3,"Re-construction of Chaudangchuk to Namchichuk Road under Teok and Mariani Territorial Road Division under SOPD-G for the year 2020-21, Mariani LAC. Pkg.No. SOPD-G/2020-21/TMTRD/MAR/03",5093955.0,4839257.25,Open Tender,2020-2021,-0.05
ocds-f5kvwu-2020_PWD_19509_4,"Re-construction of Lahdoigarh Road under Teok and Mariani Territorial Road Division under SOPD-G for the year 2020-21, Mariani LAC. Pkg.No. SOPD-G/2020-21/TMTRD/MAR/04",9573993.0,9095292.62,Open Tender,2020-2021,-0.05000007624822797
ocds-f5kvwu-2020_PWD_19509_5,"Construction of Dhodar Ali to Hemlai Gakhirkhowa Road under Teok and Mariani Territorial Road Division under SOPD-G for the year 2020-21, Mariani LAC. Pkg.No. SOPD-G/2020-21/TMTRD/MAR/05",11949743.0,11352255.85,Open Tender,2020-2021,-0.05000000000000003
ocds-f5kvwu-2020_PWD_19509_6,"Re-construction of Dhodar Ali Road (66th to 68th Km) under PWD, Teok and Mariani Territorial Road Division under SOPD-G for the year 2020-21, Mariani LAC. Pkg.No. SOPD-G/2020-21/TMTRD/MAR/06",7889844.0,7886555.0,Open Tender,2020-2021,-0.0004168650229332798
ocds-f5kvwu-2020_PWD_19509_7,"Construction of Gar Ali to Phukonar Chuk under Teok and Mariani Territorial Road Division under SOPD-G for the year 2020-21, Mariani LAC. Pkg.No. SOPD-G/2020-21/TMTRD/MAR/07",11971999.0,11373399.05,Open Tender,2020-2021,-0.04999999999999994
ocds-f5kvwu-2020_PWD_19509_8,"Construction of NHBK to Lahing Road under Teok and Mariani Territorial Road Division under SOPD-G for the year 2020-21, Mariani LAC. Pkg.No. SOPD-G/2020-21/TMTRD/MAR/08",14477689.0,13753804.55,Open Tender,2020-2021,-0.04999999999999995
ocds-f5kvwu-2020_PWD_19536_2,SOPD_G_20_21_32 Improvement and Widening of Road from Itakhola to Borpam via Diplonga connecting Sootea under SOPD-(G) for the year 2020-21,175727000.0,175727000.0,Open Tender,2020-2021,0.0
ocds-f5kvwu-2020_PWD_19569_1,"SOPD_SIG_20_21_05 Improvement/Construction (i) Dulia Kahar Road (Babathan to Military Point) (ii) Uttar Hatichungi Road (iii) Handique Chuk Road (iv) Saporichuk muslim Gaon (Culvert), Slab Culvert Chaporichuk (protection work)",14038000.0,13250753.0,Open Tender,2020-2021,-0.056079712209716484
